image,image_type,method,green_threshold,red_object_threshold,yeast_count,red_positive_yeast_count,red_positive_fraction,mean_red_intensity_per_cell,mean_red_overlap_fraction_per_cell,mean_area_px
cyano_only_1.tif,cyano_only,otsu_global,0.0,9.040293493929111,0,0,,,,
cyano_only_1.tif,cyano_only,watershed,0.0,9.040293493929111,0,0,,,,
cyano_only_2.tif,cyano_only,otsu_global,12.4180112756734,28.666518791688965,3,3,1.0,104.42776821572004,1.0,129.66666666666666
cyano_only_2.tif,cyano_only,watershed,12.4180112756734,28.666518791688965,4,4,1.0,111.00986863099669,1.0,97.25
cyano_only_3.tif,cyano_only,otsu_global,0.0,31.319148439074596,0,0,,,,
cyano_only_3.tif,cyano_only,watershed,0.0,31.319148439074596,0,0,,,,
yeast_cyano_1.czi,combined,otsu_global,53.27232760964064,17.69213148880973,23,9,0.391304347826087,5.883155230107986,0.08765984599202412,375.7826086956522
yeast_cyano_1.czi,combined,watershed,53.27232760964064,17.69213148880973,34,11,0.3235294117647059,5.5490647417999455,0.0802792563084846,238.0
yeast_cyano_2.czi,combined,otsu_global,60.97902206496708,17.816511460142088,20,12,0.6,8.194256698794721,0.14504917213532914,364.0
yeast_cyano_2.czi,combined,watershed,60.97902206496708,17.816511460142088,29,16,0.5517241379310345,7.320246021512596,0.12688775957105897,235.58620689655172
yeast_cyano_3.czi,combined,otsu_global,53.288741123778514,15.562007249474494,23,16,0.6956521739130435,9.640932803752765,0.22539659116160976,408.5652173913044
yeast_cyano_3.czi,combined,watershed,53.288741123778514,15.562007249474494,34,19,0.5588235294117647,8.004917272461343,0.18096302579829465,266.97058823529414
yeast_cyano_4.czi,combined,otsu_global,35.510731952138,6.488030189467365,12,12,1.0,5.0213509578861215,0.2854056922002697,521.1666666666666
yeast_cyano_4.czi,combined,watershed,35.510731952138,6.488030189467365,28,23,0.8214285714285714,4.673598739498216,0.2547814729448777,214.39285714285714
yeast_cyano_5.czi,combined,otsu_global,41.268868275130004,20.372508413726486,98,44,0.4489795918367347,7.191925304379054,0.03279369986724594,524.1632653061224
yeast_cyano_5.czi,combined,watershed,41.268868275130004,20.372508413726486,203,65,0.32019704433497537,6.964229643439012,0.026732632546043803,229.94581280788177
yeast_only_1.tif,yeast_only,otsu_global,31.541871731761617,0.0,12,0,0.0,0.0,0.0,304.8333333333333
yeast_only_1.tif,yeast_only,watershed,31.541871731761617,0.0,16,0,0.0,0.0,0.0,214.25
yeast_only_2.tif,yeast_only,otsu_global,89.150390625,0.0,24,0,0.0,0.0,0.0,385.9166666666667
yeast_only_2.tif,yeast_only,watershed,89.150390625,0.0,45,0,0.0,0.0,0.0,157.8
yeast_only_3.tif,yeast_only,otsu_global,98.115234375,0.0,17,0,0.0,0.0,0.0,538.3529411764706
yeast_only_3.tif,yeast_only,watershed,98.115234375,0.0,49,0,0.0,0.0,0.0,149.28571428571428
